short,dom,n,errors,acc,auroc_recomp,auroc,ci_lo,ci_hi,ci_w
Opus 4.6,Social,250,12,0.952,0.8732492997198879,0.8732,0.8026,0.9372,0.1346
Opus 4.7,Applied,250,19,0.924,0.8524720893141945,0.8525,0.7783,0.9237,0.1454
Opus 4.7,Factual,249,14,0.9437751004016064,0.7256838905775076,0.7257,0.5808,0.8524,0.2716
Opus 4.7,Formal,250,12,0.952,0.779936974789916,0.7799,0.5817,0.9408,0.3592
Opus 4.7,Human.,250,7,0.972,0.6919459141681363,0.6919,0.3531,0.9587,0.6056
Opus 4.7,Science,250,11,0.956,0.8164701407379232,0.8165,0.6666,0.935,0.2684
Opus 4.7,Social,250,17,0.932,0.8245392577631911,0.8245,0.7361,0.8983,0.1622
Qwen 235B,Applied,250,55,0.78,0.6435897435897436,0.6436,0.5791,0.711,0.1319
Qwen 235B,Factual,250,23,0.908,0.6221988124880291,0.6222,0.5212,0.7224,0.2012
Qwen 235B,Formal,250,42,0.832,0.5667925824175823,0.5668,0.4764,0.6574,0.1811
Qwen 235B,Human.,250,16,0.936,0.7108707264957265,0.7109,0.5993,0.8246,0.2253
Qwen 235B,Science,250,32,0.872,0.637184633027523,0.6372,0.5692,0.6911,0.1219
Qwen 235B,Social,250,33,0.868,0.6499790532048597,0.65,0.5529,0.7518,0.1989
Qwen 80B Inst,Applied,250,45,0.82,0.6475338753387534,0.6475,0.5694,0.7267,0.1573
Qwen 80B Inst,Factual,250,29,0.884,0.6782649399282259,0.6783,0.5781,0.7776,0.1995
Qwen 80B Inst,Formal,250,46,0.816,0.584665387894288,0.5847,0.5174,0.6635,0.1461
Qwen 80B Inst,Human.,250,12,0.952,0.7158613445378151,0.7159,0.5533,0.8533,0.3
Qwen 80B Inst,Science,250,35,0.86,0.5815946843853821,0.5816,0.4831,0.6702,0.1872
Qwen 80B Inst,Social,250,49,0.804,0.691237689105493,0.6912,0.6197,0.7624,0.1427
Qwen Coder,Applied,250,49,0.804,0.6496598639455782,0.6497,0.5765,0.7147,0.1382
Qwen Coder,Factual,250,29,0.884,0.7155562490248089,0.7156,0.6373,0.7866,0.1493
Qwen Coder,Formal,250,23,0.908,0.5758475387856732,0.5758,0.4569,0.6893,0.2323
Qwen Coder,Human.,250,16,0.936,0.7227564102564104,0.7228,0.6033,0.8171,0.2138
Qwen Coder,Science,250,28,0.888,0.6954633204633204,0.6955,0.6104,0.7893,0.179
Qwen Coder,Social,250,51,0.796,0.6159720169474825,0.616,0.5427,0.6943,0.1515
Qwen Think,Applied,250,22,0.912,0.7258771929824561,0.7259,0.614,0.8286,0.2146
